plan_id,mode,amplitude_m,pavage,n_pieces,valide_avant,valide_apres,deplacement_max_m,temps_ms,statut,seed
6536fd46e1b65f6988c18ebfb21b7203,elargir,1.0,False,3,False,True,1.000000,2.128,ok,2409257678
6536fd46e1b65f6988c18ebfb21b7203,elargir,1.0,True,3,False,True,1.000000,3.204,ok,2409257678
6536fd46e1b65f6988c18ebfb21b7203,retrecir,0.1,False,3,False,False,,2.145,invariant_viole,3914412110
6536fd46e1b65f6988c18ebfb21b7203,retrecir,0.1,True,3,False,True,0.100000,2.497,ok,3914412110
6536fd46e1b65f6988c18ebfb21b7203,retrecir,0.25,False,3,False,False,,2.091,invariant_viole,3699287642
6536fd46e1b65f6988c18ebfb21b7203,retrecir,0.25,True,3,False,True,0.250000,2.712,ok,3699287642
6536fd46e1b65f6988c18ebfb21b7203,retrecir,0.5,False,3,False,False,,2.269,invariant_viole,3463254684
6536fd46e1b65f6988c18ebfb21b7203,retrecir,0.5,True,3,False,True,0.500000,2.827,ok,3463254684
6536fd46e1b65f6988c18ebfb21b7203,retrecir,1.0,False,3,False,False,,2.286,invariant_viole,341334079
6536fd46e1b65f6988c18ebfb21b7203,retrecir,1.0,True,3,False,True,1.000000,2.602,ok,341334079
6536fd46e1b65f6988c18ebfb21b7203,aplatir,0.1,False,3,False,False,,2.058,invariant_viole,1722846034
6536fd46e1b65f6988c18ebfb21b7203,aplatir,0.1,True,3,False,True,0.100000,2.828,ok,1722846034
6536fd46e1b65f6988c18ebfb21b7203,aplatir,0.25,False,3,False,False,,2.195,invariant_viole,726893620
6536fd46e1b65f6988c18ebfb21b7203,aplatir,0.25,True,3,False,True,0.250000,2.643,ok,726893620
6536fd46e1b65f6988c18ebfb21b7203,aplatir,0.5,False,3,False,False,,2.045,invariant_viole,4002727576
6536fd46e1b65f6988c18ebfb21b7203,aplatir,0.5,True,3,False,True,0.500000,2.497,ok,4002727576
6536fd46e1b65f6988c18ebfb21b7203,aplatir,1.0,False,3,False,False,,2.074,invariant_viole,3084020101
6536fd46e1b65f6988c18ebfb21b7203,aplatir,1.0,True,3,False,True,1.000000,2.489,ok,3084020101
9999769f786b7d6d8f54505934df1f97,deplacer,0.1,False,6,False,False,,3.450,invariant_viole,2021883480
9999769f786b7d6d8f54505934df1f97,deplacer,0.1,True,6,False,True,0.100000,3.693,ok,2021883480
9999769f786b7d6d8f54505934df1f97,deplacer,0.25,False,6,False,True,0.250000,3.814,ok,3919889693
9999769f786b7d6d8f54505934df1f97,deplacer,0.25,True,6,False,True,0.250000,3.888,ok,3919889693
9999769f786b7d6d8f54505934df1f97,deplacer,0.5,False,6,False,False,,3.265,invariant_viole,4220184654
9999769f786b7d6d8f54505934df1f97,deplacer,0.5,True,6,False,True,0.500000,3.815,ok,4220184654
9999769f786b7d6d8f54505934df1f97,deplacer,1.0,False,6,False,True,1.000000,3.294,ok,2001220816
9999769f786b7d6d8f54505934df1f97,deplacer,1.0,True,6,False,True,1.000000,3.859,ok,2001220816
9999769f786b7d6d8f54505934df1f97,elargir,0.1,False,6,False,True,0.100000,3.245,ok,3584740723
9999769f786b7d6d8f54505934df1f97,elargir,0.1,True,6,False,True,0.100000,6.679,ok,3584740723
9999769f786b7d6d8f54505934df1f97,elargir,0.25,False,6,False,True,0.250000,4.451,ok,3231772091
9999769f786b7d6d8f54505934df1f97,elargir,0.25,True,6,False,True,0.250000,4.992,ok,3231772091
9999769f786b7d6d8f54505934df1f97,elargir,0.5,False,6,False,True,0.500000,3.464,ok,1855916303
9999769f786b7d6d8f54505934df1f97,elargir,0.5,True,6,False,True,0.500000,5.367,ok,1855916303
9999769f786b7d6d8f54505934df1f97,elargir,1.0,False,6,False,True,1.000000,6.311,ok,1996233204
9999769f786b7d6d8f54505934df1f97,elargir,1.0,True,6,False,True,1.000000,6.214,ok,1996233204
9999769f786b7d6d8f54505934df1f97,retrecir,0.1,False,6,False,False,,4.159,invariant_viole,1485360649
9999769f786b7d6d8f54505934df1f97,retrecir,0.1,True,6,False,True,0.100000,4.411,ok,1485360649
9999769f786b7d6d8f54505934df1f97,retrecir,0.25,False,6,False,False,,3.317,invariant_viole,147021532
9999769f786b7d6d8f54505934df1f97,retrecir,0.25,True,6,False,True,0.250000,3.708,ok,147021532
9999769f786b7d6d8f54505934df1f97,retrecir,0.5,False,6,False,False,,4.277,invariant_viole,3043801128
9999769f786b7d6d8f54505934df1f97,retrecir,0.5,True,6,False,True,0.500000,5.872,ok,3043801128
9999769f786b7d6d8f54505934df1f97,retrecir,1.0,False,6,False,False,,3.519,invariant_viole,3939597396
9999769f786b7d6d8f54505934df1f97,retrecir,1.0,True,6,False,True,1.000000,3.886,ok,3939597396
9999769f786b7d6d8f54505934df1f97,aplatir,0.1,False,6,False,False,,4.698,invariant_viole,3417360173
9999769f786b7d6d8f54505934df1f97,aplatir,0.1,True,6,False,True,0.100000,5.684,ok,3417360173
9999769f786b7d6d8f54505934df1f97,aplatir,0.25,False,6,False,False,,3.750,invariant_viole,2587264800
9999769f786b7d6d8f54505934df1f97,aplatir,0.25,True,6,False,True,0.250000,6.763,ok,2587264800
9999769f786b7d6d8f54505934df1f97,aplatir,0.5,False,6,False,False,,3.292,invariant_viole,1657054776
9999769f786b7d6d8f54505934df1f97,aplatir,0.5,True,6,False,True,0.500000,5.039,ok,1657054776
9999769f786b7d6d8f54505934df1f97,aplatir,1.0,False,6,False,False,,3.270,invariant_viole,2865977105
9999769f786b7d6d8f54505934df1f97,aplatir,1.0,True,6,False,True,1.796673,3.785,ok,2865977105
cb2183d5d18b893308a1aa4918f492dc,deplacer,0.1,False,8,False,False,,6.185,invariant_viole,423368900
cb2183d5d18b893308a1aa4918f492dc,deplacer,0.1,True,8,False,True,0.100000,10.184,ok,423368900
cb2183d5d18b893308a1aa4918f492dc,deplacer,0.25,False,8,False,False,,4.765,invariant_viole,3022919026
cb2183d5d18b893308a1aa4918f492dc,deplacer,0.25,True,8,False,True,0.250000,9.098,ok,3022919026
cb2183d5d18b893308a1aa4918f492dc,deplacer,0.5,False,8,False,False,,4.802,invariant_viole,3710642581
cb2183d5d18b893308a1aa4918f492dc,deplacer,0.5,True,8,False,False,,7.184,infaisable,3710642581
cb2183d5d18b893308a1aa4918f492dc,deplacer,1.0,False,8,False,False,,5.334,invariant_viole,4194952568
cb2183d5d18b893308a1aa4918f492dc,deplacer,1.0,True,8,False,True,1.000000,8.732,ok,4194952568
cb2183d5d18b893308a1aa4918f492dc,elargir,0.1,False,8,False,True,0.100000,7.485,ok,1042727893
cb2183d5d18b893308a1aa4918f492dc,elargir,0.1,True,8,False,True,0.100000,8.778,ok,1042727893
cb2183d5d18b893308a1aa4918f492dc,elargir,0.25,False,8,False,True,0.250000,9.029,ok,2750310394
cb2183d5d18b893308a1aa4918f492dc,elargir,0.25,True,8,False,True,0.250000,8.357,ok,2750310394
cb2183d5d18b893308a1aa4918f492dc,elargir,0.5,False,8,False,False,,6.121,invariant_viole,2428226958
cb2183d5d18b893308a1aa4918f492dc,elargir,0.5,True,8,False,True,0.500000,8.633,ok,2428226958
cb2183d5d18b893308a1aa4918f492dc,elargir,1.0,False,8,False,True,1.000000,8.730,ok,3226908598
cb2183d5d18b893308a1aa4918f492dc,elargir,1.0,True,8,False,True,1.000000,8.358,ok,3226908598
cb2183d5d18b893308a1aa4918f492dc,retrecir,0.1,False,8,False,False,,4.661,invariant_viole,338322701
cb2183d5d18b893308a1aa4918f492dc,retrecir,0.1,True,8,False,True,0.100000,7.732,ok,338322701
cb2183d5d18b893308a1aa4918f492dc,retrecir,0.25,False,8,False,True,0.250000,7.707,ok,1494704345
cb2183d5d18b893308a1aa4918f492dc,retrecir,0.25,True,8,False,True,0.250000,8.165,ok,1494704345
cb2183d5d18b893308a1aa4918f492dc,retrecir,0.5,False,8,False,False,,5.868,invariant_viole,2853313765
cb2183d5d18b893308a1aa4918f492dc,retrecir,0.5,True,8,False,True,0.500000,8.063,ok,2853313765
cb2183d5d18b893308a1aa4918f492dc,retrecir,1.0,False,8,False,False,,5.962,invariant_viole,3245696349
cb2183d5d18b893308a1aa4918f492dc,retrecir,1.0,True,8,False,True,1.000000,8.749,ok,3245696349
cb2183d5d18b893308a1aa4918f492dc,aplatir,0.1,False,8,False,False,,4.557,invariant_viole,410932423
cb2183d5d18b893308a1aa4918f492dc,aplatir,0.1,True,8,False,True,0.100000,9.121,ok,410932423
cb2183d5d18b893308a1aa4918f492dc,aplatir,0.25,False,8,False,False,,5.592,invariant_viole,3693511113
cb2183d5d18b893308a1aa4918f492dc,aplatir,0.25,True,8,False,True,0.250000,8.870,ok,3693511113
cb2183d5d18b893308a1aa4918f492dc,aplatir,0.5,False,8,False,False,,4.931,invariant_viole,3641449025
cb2183d5d18b893308a1aa4918f492dc,aplatir,0.5,True,8,False,True,0.500000,9.683,ok,3641449025
cb2183d5d18b893308a1aa4918f492dc,aplatir,1.0,False,8,False,False,,7.261,invariant_viole,2022655614
cb2183d5d18b893308a1aa4918f492dc,aplatir,1.0,True,8,False,True,1.000000,9.297,ok,2022655614
b344712aedd977ff94edd5d6064e6f27,deplacer,0.1,False,8,False,True,0.100000,5.686,ok,512339463
b344712aedd977ff94edd5d6064e6f27,deplacer,0.1,True,8,False,True,0.100000,8.590,ok,512339463
b344712aedd977ff94edd5d6064e6f27,deplacer,0.25,False,8,False,True,0.250000,6.271,ok,1423477655
b344712aedd977ff94edd5d6064e6f27,deplacer,0.25,True,8,False,True,0.250000,8.701,ok,1423477655
b344712aedd977ff94edd5d6064e6f27,deplacer,0.5,False,8,False,False,,5.538,invariant_viole,3345742089
b344712aedd977ff94edd5d6064e6f27,deplacer,0.5,True,8,False,True,0.500000,8.431,ok,3345742089
b344712aedd977ff94edd5d6064e6f27,deplacer,1.0,False,8,False,False,,5.130,invariant_viole,3270759670
b344712aedd977ff94edd5d6064e6f27,deplacer,1.0,True,8,False,False,,6.610,infaisable,3270759670
b344712aedd977ff94edd5d6064e6f27,elargir,0.1,False,8,False,False,,5.062,invariant_viole,2396167521
b344712aedd977ff94edd5d6064e6f27,elargir,0.1,True,8,False,True,0.100000,9.692,ok,2396167521
b344712aedd977ff94edd5d6064e6f27,elargir,0.25,False,8,False,True,0.250000,5.236,ok,2107076173
b344712aedd977ff94edd5d6064e6f27,elargir,0.25,True,8,False,True,0.250000,7.474,ok,2107076173
b344712aedd977ff94edd5d6064e6f27,elargir,0.5,False,8,False,False,,4.537,invariant_viole,3801549219
b344712aedd977ff94edd5d6064e6f27,elargir,0.5,True,8,False,True,0.500000,9.068,ok,3801549219
b344712aedd977ff94edd5d6064e6f27,elargir,1.0,False,8,False,False,,4.776,invariant_viole,628696626
b344712aedd977ff94edd5d6064e6f27,elargir,1.0,True,8,False,False,,5.779,invariant_viole,628696626
b344712aedd977ff94edd5d6064e6f27,retrecir,0.1,False,8,False,False,,4.878,invariant_viole,3603049103
b344712aedd977ff94edd5d6064e6f27,retrecir,0.1,True,8,False,True,0.100000,7.352,ok,3603049103
b344712aedd977ff94edd5d6064e6f27,retrecir,0.25,False,8,False,False,,5.720,invariant_viole,3420282278
b344712aedd977ff94edd5d6064e6f27,retrecir,0.25,True,8,False,True,0.250000,8.256,ok,3420282278
b344712aedd977ff94edd5d6064e6f27,retrecir,0.5,False,8,False,False,,4.647,invariant_viole,3937506363
b344712aedd977ff94edd5d6064e6f27,retrecir,0.5,True,8,False,True,0.500000,8.890,ok,3937506363
b344712aedd977ff94edd5d6064e6f27,retrecir,1.0,False,8,False,True,0.993385,6.786,ok,882429913
b344712aedd977ff94edd5d6064e6f27,retrecir,1.0,True,8,False,True,0.993385,7.625,ok,882429913
b344712aedd977ff94edd5d6064e6f27,aplatir,0.1,False,8,False,False,,4.872,invariant_viole,36373322
b344712aedd977ff94edd5d6064e6f27,aplatir,0.1,True,8,False,True,0.100000,7.281,ok,36373322
b344712aedd977ff94edd5d6064e6f27,aplatir,0.25,False,8,False,False,,5.099,invariant_viole,2010572191
b344712aedd977ff94edd5d6064e6f27,aplatir,0.25,True,8,False,True,0.250000,8.926,ok,2010572191
