seed,width_random,width_active
2486966816,7.952578,10.263935
4278253041,9.379195,11.871259
324013405,14.820683,10.480094
2947540216,3.966392,3.573171
1326491266,9.709092,38.620304
1860960679,10.932438,13.902916
3764162107,9.096890,10.236142
2697702015,11.312258,7.779351
4006396777,5.256532,10.932003
3248142401,12.286599,13.677501
2117416734,17.422100,12.771276
2816325342,15.036883,13.697027
1326034688,7.334240,6.288544
3153560736,12.274145,7.995271
570214889,17.151218,14.242546
1524052838,14.535109,13.627812
1699580903,5.113127,12.510398
3265851031,11.290357,12.591607
771241732,10.098303,17.599179
2831601748,6.489446,11.492076
2344130790,16.654132,16.625429
1718714403,11.732197,13.610618
339242312,14.314789,11.530979
864044251,15.637662,9.035251
1751710221,11.152335,8.528561
4238022190,13.307927,11.672591
2618949051,7.776398,11.870964
4271788005,8.942565,8.530111
4258979859,8.947943,8.252726
2625385298,8.925419,15.147820
