plan_id,amplitude_m,pavage,valid_before,status,valid_after,seed,max_displacement_m
syn-0017,0.1,False,False,InvariantViole,False,17172,
syn-0017,0.1,True,False,ok,True,17172,0.100000
syn-0017,0.25,False,False,ok,True,17175,0.250000
syn-0017,0.25,True,False,ok,True,17175,0.250000
syn-0017,0.5,False,False,ok,True,17180,0.500000
syn-0017,0.5,True,False,ok,True,17180,0.500000
syn-0018,0.1,False,False,ok,True,17182,0.100000
syn-0018,0.1,True,False,ok,True,17182,0.100000
syn-0018,0.25,False,False,ok,True,17185,0.250000
syn-0018,0.25,True,False,ok,True,17185,0.250000
syn-0018,0.5,False,False,ok,True,17190,0.500000
syn-0018,0.5,True,False,ok,True,17190,0.500000
syn-0019,0.1,False,False,ok,True,17192,0.100000
syn-0019,0.1,True,False,ok,True,17192,0.100000
syn-0019,0.25,False,False,InvariantViole,False,17195,
syn-0019,0.25,True,False,ok,True,17195,0.250000
syn-0019,0.5,False,False,ok,True,17200,0.500000
syn-0019,0.5,True,False,ok,True,17200,0.500000
syn-0020,0.1,False,False,InvariantViole,False,17202,
syn-0020,0.1,True,False,ok,True,17202,0.100000
syn-0020,0.25,False,False,ok,True,17205,0.250000
syn-0020,0.25,True,False,ok,True,17205,0.250000
syn-0020,0.5,False,False,ok,True,17210,0.500000
syn-0020,0.5,True,False,ok,True,17210,0.500000
syn-0021,0.1,False,False,ok,True,17212,0.100000
syn-0021,0.1,True,False,ok,True,17212,0.100000
syn-0021,0.25,False,False,InvariantViole,False,17215,
syn-0021,0.25,True,False,ok,True,17215,0.250000
syn-0021,0.5,False,False,ok,True,17220,0.500000
syn-0021,0.5,True,False,ok,True,17220,0.500000
syn-0022,0.1,False,False,InvariantViole,False,17222,
syn-0022,0.1,True,False,ok,True,17222,0.100000
syn-0022,0.25,False,False,ok,True,17225,0.250000
syn-0022,0.25,True,False,ok,True,17225,0.250000
syn-0022,0.5,False,False,InvariantViole,False,17230,
syn-0022,0.5,True,False,ok,True,17230,0.500000
syn-0023,0.1,False,False,InvariantViole,False,17232,
syn-0023,0.1,True,False,ok,True,17232,0.100000
syn-0023,0.25,False,False,ok,True,17235,0.250000
syn-0023,0.25,True,False,ok,True,17235,0.250000
syn-0023,0.5,False,False,InvariantViole,False,17240,
syn-0023,0.5,True,False,ok,True,17240,0.500000
syn-0024,0.1,False,False,ok,True,17242,0.100000
syn-0024,0.1,True,False,ok,True,17242,0.100000
syn-0024,0.25,False,False,ok,True,17245,0.250000
syn-0024,0.25,True,False,ok,True,17245,0.250000
syn-0024,0.5,False,False,InvariantViole,False,17250,
syn-0024,0.5,True,False,ok,True,17250,0.500000
syn-0025,0.1,False,False,InvariantViole,False,17252,
syn-0025,0.1,True,False,ok,True,17252,0.100000
syn-0025,0.25,False,False,InvariantViole,False,17255,
syn-0025,0.25,True,False,ok,True,17255,0.250000
syn-0025,0.5,False,False,ok,True,17260,0.500000
syn-0025,0.5,True,False,ok,True,17260,0.500000
syn-0026,0.1,False,False,ok,True,17262,0.100000
syn-0026,0.1,True,False,ok,True,17262,0.100000
syn-0026,0.25,False,False,ok,True,17265,0.250000
syn-0026,0.25,True,False,ok,True,17265,0.250000
syn-0026,0.5,False,False,InvariantViole,False,17270,
syn-0026,0.5,True,False,ok,True,17270,0.500000
syn-0027,0.1,False,False,ok,True,17272,0.100000
syn-0027,0.1,True,False,ok,True,17272,0.100000
syn-0027,0.25,False,False,ok,True,17275,0.250000
syn-0027,0.25,True,False,ok,True,17275,0.250000
syn-0027,0.5,False,False,ok,True,17280,0.500000
syn-0027,0.5,True,False,ok,True,17280,0.500000
syn-0028,0.1,False,False,InvariantViole,False,17282,
syn-0028,0.1,True,False,ok,True,17282,0.100000
syn-0028,0.25,False,False,InvariantViole,False,17285,
syn-0028,0.25,True,False,ok,True,17285,0.250000
syn-0028,0.5,False,False,InvariantViole,False,17290,
syn-0028,0.5,True,False,ok,True,17290,0.500000
syn-0029,0.1,False,False,InvariantViole,False,17292,
syn-0029,0.1,True,False,ok,True,17292,0.100000
syn-0029,0.25,False,False,ok,True,17295,0.250000
syn-0029,0.25,True,False,ok,True,17295,0.250000
syn-0029,0.5,False,False,InvariantViole,False,17300,
syn-0029,0.5,True,False,ok,True,17300,0.500000
syn-0030,0.1,False,False,ok,True,17302,0.100000
syn-0030,0.1,True,False,ok,True,17302,0.100000
syn-0030,0.25,False,False,InvariantViole,False,17305,
syn-0030,0.25,True,False,ok,True,17305,0.250000
syn-0030,0.5,False,False,InvariantViole,False,17310,
syn-0030,0.5,True,False,ok,True,17310,0.500000
syn-0031,0.1,False,False,InvariantViole,False,17312,
syn-0031,0.1,True,False,ok,True,17312,0.100000
syn-0031,0.25,False,False,InvariantViole,False,17315,
syn-0031,0.25,True,False,ok,True,17315,0.250000
syn-0031,0.5,False,False,ok,True,17320,0.500000
syn-0031,0.5,True,False,ok,True,17320,0.500000
syn-0032,0.1,False,False,InvariantViole,False,17322,
syn-0032,0.1,True,False,ok,True,17322,0.100000
syn-0032,0.25,False,False,ok,True,17325,0.250000
syn-0032,0.25,True,False,ok,True,17325,0.250000
syn-0032,0.5,False,False,InvariantViole,False,17330,
syn-0032,0.5,True,False,ok,True,17330,0.500000
syn-0033,0.1,False,False,InvariantViole,False,17332,
syn-0033,0.1,True,False,ok,True,17332,0.100000
syn-0033,0.25,False,False,InvariantViole,False,17335,
syn-0033,0.25,True,False,ok,True,17335,0.250000
syn-0033,0.5,False,False,ok,True,17340,0.500000
syn-0033,0.5,True,False,ok,True,17340,0.500000
syn-0034,0.1,False,False,ok,True,17342,0.100000
syn-0034,0.1,True,False,ok,True,17342,0.100000
syn-0034,0.25,False,False,ok,True,17345,0.250000
syn-0034,0.25,True,False,ok,True,17345,0.250000
syn-0034,0.5,False,False,InvariantViole,False,17350,
syn-0034,0.5,True,False,ok,True,17350,0.500000
syn-0035,0.1,False,False,ok,True,17352,0.100000
syn-0035,0.1,True,False,ok,True,17352,0.100000
